word,cooc_count,word_count,pmi
已成,8,8,0.024727382283907105
书之,8,8,0.024727382283907105
太尉,8,8,0.024727382283907105
自有,8,8,0.024727382283907105
之人,8,8,0.024727382283907105
谨,8,8,0.024727382283907105
赖,8,8,0.024727382283907105
补,8,8,0.024727382283907105
断,8,8,0.024727382283907105
可乎,8,8,0.024727382283907105
先天,8,8,0.024727382283907105
受之,8,8,0.024727382283907105
可也,8,8,0.024727382283907105
迎,8,8,0.024727382283907105
诰,8,8,0.024727382283907105
万邦,8,8,0.024727382283907105
浮,8,8,0.024727382283907105
应人,8,8,0.024727382283907105
命令,8,8,0.024727382283907105
曽,8,8,0.024727382283907105
多士,8,8,0.024727382283907105
访,8,8,0.024727382283907105
大业,8,8,0.024727382283907105
候听,8,8,0.024727382283907105
卯酉,8,8,0.024727382283907105
星辰,8,8,0.024727382283907105
阴阳,8,8,0.024727382283907105
潜谋,8,8,0.024727382283907105
少昊,8,8,0.024727382283907105
刚柔,8,8,0.024727382283907105
四际,8,8,0.024727382283907105
不闻,8,8,0.024727382283907105
三际,8,8,0.024727382283907105
孟康,8,8,0.024727382283907105
嘉鱼,8,8,0.024727382283907105
重光,8,8,0.024727382283907105
于上,8,8,0.024727382283907105
允,8,8,0.024727382283907105
穷,8,8,0.024727382283907105
乞,8,8,0.024727382283907105
怀,8,8,0.024727382283907105
空,8,8,0.024727382283907105
之功,8,8,0.024727382283907105
辈,8,8,0.024727382283907105
先帝,8,8,0.024727382283907105
将军,8,8,0.024727382283907105
伏,8,8,0.024727382283907105
旣,8,8,0.024727382283907105
商人,8,8,0.024727382283907105
为政,8,8,0.024727382283907105
围,8,8,0.024727382283907105
二代,8,8,0.024727382283907105
治歴,8,8,0.024727382283907105
泰誓,8,8,0.024727382283907105
烝享,8,8,0.024727382283907105
周王,8,8,0.024727382283907105
逮,8,8,0.024727382283907105
赏,8,8,0.024727382283907105
其言,8,8,0.024727382283907105
积,8,8,0.024727382283907105
量,8,8,0.024727382283907105
典,8,8,0.024727382283907105
新民,8,8,0.024727382283907105
帅,8,8,0.024727382283907105
苦,8,8,0.024727382283907105
阴,8,8,0.024727382283907105
社,8,8,0.024727382283907105
屯,8,8,0.024727382283907105
更革,8,8,0.024727382283907105
威,8,8,0.024727382283907105
早,8,8,0.024727382283907105
始祖,8,8,0.024727382283907105
怨,8,8,0.024727382283907105
爻,8,8,0.024727382283907105
播,8,8,0.024727382283907105
职,8,8,0.024727382283907105
草木,8,8,0.024727382283907105
薨,8,8,0.024727382283907105
竞,8,8,0.024727382283907105
论之,8,8,0.024727382283907105
轻,8,8,0.024727382283907105
恒,8,8,0.024727382283907105
成王,8,8,0.024727382283907105
谏,8,8,0.024727382283907105
飞龙,8,8,0.024727382283907105
术,8,8,0.024727382283907105
体,16,17,0.024615938535762407
隋,16,17,0.024615938535762407
勿,16,17,0.024615938535762407
之意,16,17,0.024615938535762407
相息,16,17,0.024615938535762407
系,16,17,0.024615938535762407
唐虞,16,17,0.024615938535762407
汝,16,17,0.024615938535762407
占,16,17,0.024615938535762407
